0.200000, 10, 32, 32, 12, 1.434, 111.245
0.200000, 10, 32, 32, 12, 1.370, 104.770
0.200000, 10, 32, 32, 12, 0.656, 124.552
0.200000, 10, 32, 32, 12, 0.699, 123.468
0.200000, 10, 32, 32, 12, 1.163, 119.790
0.200000, 10, 32, 32, 12, 1.155, 124.267
0.200000, 10, 32, 32, 12, 1.079, 109.422
0.200000, 10, 32, 32, 12, 0.893, 116.045
0.200000, 10, 32, 32, 12, 0.809, 122.422
0.200000, 10, 32, 32, 12, 1.262, 108.642
0.200000, 10, 32, 32, 12, 0.737, 108.642
0.200000, 10, 32, 32, 12, 1.055, 112.542
0.200000, 10, 32, 32, 160, 1.264, 109.272
0.200000, 10, 16, 16, 12, 1.826, 124.140
0.200000, 10, 16, 16, 12, 1.236, 120.110
0.200000, 10, 16, 16, 12, 0.835, 123.890
0.200000, 10, 16, 16, 12, 0.786, 112.665
0.200000, 10, 16, 16, 12, 0.823, 106.707
0.200000, 10, 16, 16, 12, 1.070, 123.470
0.200000, 10, 16, 16, 12, 1.162, 107.762
0.200000, 10, 16, 16, 12, 0.301, 48.890
0.200000, 10, 16, 16, 12, 0.367, 44.485
0.200000, 10, 16, 16, 12, 1.685, 102.310
0.200000, 10, 16, 16, 12, 0.713, 123.585
0.200000, 10, 16, 16, 12, 0.960, 104.705
0.200000, 10, 16, 16, 304, 1.183, 121.945
0.200000, 10, 8, 8, 12, 1.765, 117.300
0.200000, 10, 8, 8, 12, 0.310, 121.790
0.200000, 10, 8, 8, 12, 0.766, 106.040
0.200000, 10, 8, 8, 12, 0.384, 116.408
0.200000, 10, 8, 8, 12, 0.691, 121.793
0.200000, 10, 8, 8, 12, 0.665, 121.952
0.200000, 10, 8, 8, 12, 0.660, 124.175
0.200000, 10, 8, 8, 12, 0.802, 123.290
0.200000, 10, 8, 8, 12, 0.816, 122.325
0.200000, 10, 8, 8, 12, 0.841, 106.050
0.200000, 10, 8, 8, 12, 0.971, 108.172
0.200000, 10, 8, 8, 12, 0.930, 124.645
